N,P,K,temperature,humidity,ph,rainfall,label
73,57,41,21.44653958,84.94375962,5.824709117,10.71660317,rice
92,35,40,22.17931888,80.33127223,6.357389366,7.877491287,rice
85,37,39,24.52783742,82.73685569,6.364134968,8.845500909,rice
98,53,38,20.26707606,81.63895217,5.01450727,10.6473121,rice
88,54,44,25.7354293,83.88266234,6.149410611,9.178430598,rice
95,55,42,26.79533926,82.1480873,5.950660556,7.612102311,rice
99,57,35,26.75754171,81.17734011,5.960370061,10.72046872,rice
95,39,36,23.86330467,83.15250801,5.561398642,11.23028994,rice
60,43,44,21.01944696,82.95221726,7.416245107,11.74810422,rice
63,44,41,24.17298839,83.7287574,5.583370042,10.11946281,rice
62,42,36,22.78133816,82.06719137,6.430010215,9.792059953,rice
64,45,43,25.62980105,83.52842314,5.534878156,8.263787311,rice
83,60,36,25.59704938,80.14509262,6.903985986,7.906885748,rice
82,40,40,23.83067496,84.81360127,6.271478838,11.75433533,rice
85,52,45,26.31355498,82.36698992,7.224285503,10.45415723,rice
91,35,38,24.8972823,80.52586088,6.13428721,7.231469319,rice
76,49,42,24.958779,84.47963372,5.206373153,7.75417326,rice
74,39,38,23.24113501,84.59201843,7.782051313,9.175013602,rice
79,43,39,21.66628296,80.70960551,7.062779015,8.299771996,rice
88,55,45,24.63544858,80.41363018,7.730367824,9.988987327,rice
60,36,43,23.43121862,83.06310136,5.286203711,8.657670665,rice
76,60,39,20.0454142,80.3477562,6.766240045,8.211851004,rice
93,56,42,23.85724032,82.22572988,7.382762603,7.680898862,rice
65,60,43,21.97199397,81.89918197,5.658169482,8.951326807,rice
95,52,36,26.22916897,83.83625819,5.543360238,11.27985719,rice
75,38,39,23.44676801,84.79352417,6.215109715,11.1784979,rice
74,54,38,25.65553461,83.47021081,7.120272972,8.558222768,rice
91,36,45,24.44345477,82.45432595,5.950647577,10.55024389,rice
71,46,40,20.2801937,82.1235421,7.236705436,7.557227315,rice
99,55,35,21.7238313,80.2389895,6.501697816,10.9434102,rice
72,40,38,20.41447029,82.20802629,7.592490617,9.651619307,rice
83,58,45,25.75528612,83.51827127,5.875345751,9.671759051,rice
93,58,38,20.61521424,83.77345559,6.932400225,11.00571542,rice
70,36,42,21.84106875,80.72886384,6.946209881,7.967867398,rice
76,47,42,20.08369642,83.29114712,5.739175027,10.37941802,rice
99,41,36,24.45802087,82.74835604,6.738652179,7.187465823,rice
99,54,37,21.14347496,80.33502926,5.594819626,7.821775362,rice
86,59,35,25.78720567,82.11124033,6.946636369,9.587088244,rice
69,46,41,23.64124821,80.28597873,5.012139669,10.35867443,rice
91,56,37,23.43191632,80.56887849,6.363472208,10.6103904,rice
61,52,41,24.97669518,83.891805,6.880431223,8.062999398,rice
67,45,38,22.72791041,82.1706881,7.300410836,10.27116164,rice
79,42,37,24.87300744,82.84022551,6.587918708,11.63816729,rice
78,43,42,21.32376327,83.00320459,7.283736617,7.571643843,rice
75,54,36,26.29465461,84.56919326,7.023936392,10.13746026,rice
97,36,45,22.2286982,81.85872947,6.939083505,10.94799919,rice
67,47,44,26.73072391,81.78596776,7.868474653,11.03954485,rice
73,35,38,24.88921174,81.97927117,5.005306977,7.320714287,rice
77,36,37,26.88444878,81.46033732,6.136131869,7.660498264,rice
81,41,38,22.67846116,83.72874389,7.524080076,7.909973055,rice
68,57,43,26.08867875,80.37979919,5.706943251,7.200958677,rice
72,45,35,25.42977518,82.94682591,5.758506323,7.691238354,rice
61,53,43,26.40323239,81.05635517,6.349606327,8.793983791,rice
67,43,39,26.04371967,84.96907151,5.999969026,7.35250698,rice
67,58,39,25.2827223,80.54372813,5.453592032,8.665971291,rice
66,60,38,22.08576562,83.47038318,6.372576327,9.123484083,rice
82,43,38,23.28617173,81.43321641,5.105588355,9.540041846,rice
84,50,44,25.48591986,81.40633547,5.935344406,7.191139197,rice
81,53,42,23.67575393,81.03569343,5.17782304,9.200925098,rice
91,50,40,20.82477109,84.1341879,6.462391607,9.06394576,rice
93,53,38,26.92995077,81.91411159,7.069172227,11.44407001,rice
90,44,38,23.83509503,83.88387074,7.473134377,9.496116193,rice
81,45,35,26.52872817,80.12267476,6.158376967,8.618754201,rice
78,40,38,26.46428311,83.85642678,7.549873681,9.77266335,rice
60,51,36,22.69657794,82.81088865,6.028321558,10.1179715,rice
88,46,42,22.68319059,83.46358271,6.604993475,7.648235114,rice
93,47,37,21.53346343,82.14004101,6.500343222,11.65058581,rice
60,55,45,21.40865769,83.3293191,5.935745417,11.32191707,rice
78,35,44,26.54348085,84.67353597,7.072655622,7.229223059,rice
65,37,40,23.35905428,83.59512273,5.333322606,7.417860827,rice
71,54,16,22.61359953,63.69070564,5.749914421,3.455099944,maize
61,44,17,26.10018422,71.57476937,6.931756558,4.026230098,maize
80,43,16,23.55882094,71.59351368,6.657964753,2.626769869,maize
73,58,21,19.97215954,57.68272924,6.596060648,2.387862788,maize
61,38,20,18.47891261,62.69503871,5.970458434,2.576313147,maize
68,41,16,21.77689322,57.80840636,6.158830619,4.019140528,maize
93,41,17,25.6217169,66.50415474,6.047906679,4.15218387,maize
89,60,19,25.19192419,66.6902901,5.913664501,3.073480177,maize
76,44,17,20.41683147,62.5542482,5.855442401,2.569999393,maize
67,60,25,24.92162194,66.78627406,5.750254943,4.299851492,maize
70,44,19,23.31689124,73.4541537,5.852607099,3.712485363,maize
90,49,21,24.84016732,68.3584573,6.472523287,2.915541313,maize
62,52,16,22.27526694,58.84015925,6.967057762,2.514575033,maize
92,44,16,18.87751445,65.76816093,6.082973754,3.730783241,maize
66,54,21,25.19008683,60.2001687,5.919045532,2.839517942,maize
63,58,22,18.25405352,55.28220433,6.204747653,2.508802423,maize
70,47,17,24.6129118,70.4162444,6.600827017,4.100890343,maize
61,41,17,25.1420613,65.26185135,6.021902237,3.019077168,maize
66,53,19,23.09348056,60.1159381,6.033550195,2.578634145,maize
74,55,19,18.05033737,62.89366992,6.28886807,3.316383261,maize
77,57,21,24.9321581,73.80435276,6.550563823,3.13940107,maize
99,50,15,18.14710054,71.09445342,5.573286437,3.467619583,maize
74,56,22,18.28362235,66.65952796,6.829199275,3.188020977,maize
83,45,21,18.83344471,58.75082029,5.716222912,3.139893291,maize
100,48,16,25.71895816,67.22190688,5.54990242,2.933657792,maize
79,51,16,25.33797709,68.49835977,6.586244581,3.797787485,maize
94,39,18,23.89114571,57.48775781,5.893093135,4.048432843,maize
75,49,15,21.53574127,71.50905983,5.918263801,4.034854051,maize
78,48,22,23.08974909,63.10459626,5.588650585,2.773021106,maize
87,54,20,25.61707368,63.4711755,6.576418207,4.28466048,maize
87,35,25,21.44526922,63.1621551,6.178056304,2.594075271,maize
63,43,19,18.51816776,55.53128131,6.641906353,3.582206732,maize
84,57,25,22.53510514,67.99257471,6.489040367,2.535774031,maize
64,35,23,23.02038334,61.89472002,5.680361038,2.481828109,maize
60,46,22,24.89364635,65.61418761,6.625404348,3.461803484,maize
98,44,21,25.77175115,74.089114,6.524478032,4.232015421,maize
75,56,18,19.39851734,62.35750641,5.696205468,2.39968405,maize
86,55,21,21.54156232,59.64024162,6.803931519,4.320926713,maize
98,35,18,23.79746068,74.82913698,6.252797548,3.61273117,maize
76,57,18,18.9802729,74.52600826,6.092725883,3.711121793,maize
99,56,17,24.10859207,73.13112261,6.234330356,2.798252849,maize
60,44,23,24.7947077,70.04556743,5.722579819,3.02081105,maize
74,48,17,21.63162756,60.27766379,6.430616465,2.72511933,maize
89,60,17,25.37548751,57.21025565,5.983952675,4.003953961,maize
69,51,23,22.21738222,72.85462807,6.80163854,4.197689594,maize
96,46,22,20.58314011,69.00128641,6.499936446,2.609996204,maize
61,60,15,24.87502824,68.74248334,6.265564338,3.592935691,maize
74,58,18,20.03728219,56.35606753,6.727303282,4.292289016,maize
74,43,23,25.95263264,61.89082199,6.325235159,3.920465042,maize
63,43,17,19.28889933,65.47050802,6.807487794,2.807855539,maize
99,36,20,20.57981887,65.34583901,6.671085817,3.084489949,maize
77,36,23,24.71417533,56.73426469,6.648725327,3.482425928,maize
87,60,23,20.27317074,63.91281869,6.439071996,2.460768461,maize
60,38,17,18.41932981,64.23580251,6.474476516,3.008390723,maize
94,54,17,23.39128187,61.74427165,5.871647806,4.225189508,maize
95,38,22,19.84939404,61.24500053,5.730617109,3.967280496,maize
84,44,21,21.869274,61.91044947,5.850439831,4.223157201,maize
77,58,19,22.8056033,56.50768935,5.791649933,3.99981415,maize
66,44,20,19.0781471,69.02298571,6.740000688,3.178155883,maize
63,35,16,22.02720976,65.35549924,6.272417541,3.296566961,maize
79,45,20,23.80546189,59.24537979,5.715208817,3.541818953,maize
72,60,25,18.52510753,69.0276233,5.773454729,3.468596219,maize
67,51,24,23.50297882,61.32026065,5.584171461,2.550311584,maize
86,36,24,26.54986394,72.89187265,5.787268394,2.887258289,maize
76,48,18,19.29563411,69.63481219,5.77597783,3.275996288,maize
75,53,18,20.68899915,59.4375337,6.864793607,4.080765276,maize
81,45,23,19.32666088,68.034493,6.192360003,3.316129597,maize
73,45,21,24.60532218,73.58868502,6.636803223,3.802832796,maize
71,35,24,22.27373646,59.52193158,5.826426917,2.675868028,maize
96,54,22,25.70196694,61.33450447,6.960358276,3.275870594,maize
99,39,18,19.20129357,68.30578978,6.11275104,3.458697776,maize
62,48,20,21.70181447,60.47470519,6.708446922,3.768263178,maize
86,37,16,20.51716779,59.21235483,5.561510732,2.661816432,maize
94,50,19,23.30355338,73.62548442,5.873242491,3.842157982,maize
76,39,24,24.2547451,55.64709899,6.995843776,2.529073014,maize
77,52,17,24.86374934,65.7420046,5.714799723,2.985145853,maize
74,39,23,22.6265115,65.77472881,6.78073637,3.471358674,maize
81,49,20,18.04185513,60.61494304,5.513697923,4.103628406,maize
63,42,21,23.26237612,72.33125523,5.798423908,2.641820921,maize
99,38,21,22.88330922,71.59722446,6.352471866,2.666447755,maize
90,52,25,25.97482359,69.36385721,6.822586546,4.06391422,maize
68,40,19,26.14384005,66.20569924,6.655426355,4.221895142,maize
60,57,24,18.66116213,61.55327249,6.121294041,2.954034515,maize
71,52,18,25.10787449,55.97732754,5.790770203,3.077195942,maize
61,59,17,23.33844615,59.24580604,6.47444292,4.134185606,maize
88,38,15,25.08239719,65.92195844,6.455116637,2.460311343,maize
65,60,22,25.36768364,72.52054555,6.606984086,4.248520122,maize
78,37,22,25.34217103,63.31801994,6.330554389,2.933890561,maize
78,58,15,25.00933355,67.816568,6.528631266,2.476913187,maize
92,60,23,18.66746724,71.516474,5.721667141,2.753265061,maize
79,59,17,20.37999665,63.73849998,6.644205485,4.27186778,maize
91,55,15,18.09300227,72.61024172,6.376651091,3.108724229,maize
76,51,18,26.16985907,71.96246617,6.247040422,3.143671415,maize
87,48,25,18.65396672,61.37879671,6.656730008,3.685842195,maize
71,60,22,26.07470121,59.37147589,6.2048017,3.376256848,maize
90,57,24,18.92851916,72.80086137,6.158860284,3.241796424,maize
67,35,22,23.30546753,63.24648023,6.385684214,4.281901579,maize
60,54,19,18.74826712,62.49878458,6.417820493,2.765118739,maize
83,58,23,19.74213321,59.66263104,6.381201909,2.579079287,maize
83,57,19,25.73044432,70.74739256,6.877869005,3.88731155,maize
40,72,77,17.02498456,16.98861173,7.485996067,3.486268954,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,3.146731528,chickpea
39,58,85,17.88776475,15.40589717,5.996932037,2.698792488,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,3.484664954,chickpea
36,67,77,18.36952567,19.56381041,7.152811172,3.120613254,chickpea
32,73,81,20.45078582,15.40312102,5.988992796,3.648966024,chickpea
58,70,84,20.6543203,16.60820843,6.231049028,2.939492591,chickpea
59,70,84,17.3348681,18.74926979,7.550808267,3.252651465,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,3.222439972,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,3.227782989,chickpea
58,66,79,20.99373558,19.33470387,8.718192847,3.683181144,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,2.936442952,chickpea
58,63,81,19.81344531,14.69765308,6.515499549,3.108864059,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,3.177593484,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,2.763065032,chickpea
28,72,84,18.72963144,19.18197264,6.481783043,2.81811424,chickpea
50,56,76,20.99502153,19.8601304,7.966605025,2.893989771,chickpea
39,71,84,20.28155898,16.39535215,8.140825437,3.24895262,chickpea
25,78,76,17.48042641,15.7559405,7.228963452,2.636606528,chickpea
31,70,77,20.88818675,14.32313811,6.492546046,3.561507218,chickpea
26,80,83,17.08498521,16.14565756,7.528599957,2.80748317,chickpea
25,68,77,20.09340593,15.11279612,7.701446446,3.37594681,chickpea
31,78,76,17.57212145,14.99927489,8.519975748,3.516161679,chickpea
60,68,83,19.12065218,18.43475844,6.620900869,3.367303214,chickpea
59,62,83,18.57665902,19.22008229,8.104396058,2.872023796,chickpea
22,67,78,17.16606398,14.42457525,6.204090835,2.847506896,chickpea
36,65,80,18.2872007,16.67921616,6.051091339,2.947813218,chickpea
59,60,84,19.03025305,18.66725565,7.690962338,3.728737022,chickpea
54,77,85,17.1418614,17.0662427,7.829211144,3.297089244,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,3.107110328,chickpea
28,76,82,20.56601874,14.25803981,6.654425315,3.297613045,chickpea
42,79,85,17.22385224,15.82069268,6.129533877,3.014795651,chickpea
32,60,83,19.69141713,19.44225438,8.829273328,3.612626633,chickpea
22,78,76,17.84851658,19.09172907,8.621662982,3.00490973,chickpea
31,79,75,18.8202251,16.1074793,8.204862075,3.532724172,chickpea
28,58,81,17.47500984,16.54314829,6.18042747,3.675210339,chickpea
57,58,77,18.72649425,17.58406365,7.978996755,3.196919888,chickpea
49,55,78,18.65580107,16.17772668,7.863113671,3.216838306,chickpea
46,76,77,18.2356751,19.68538502,6.967843048,3.297196592,chickpea
54,61,77,18.81198127,15.21618225,6.206582193,3.052871748,chickpea
38,60,76,18.65054116,17.80852431,8.868741443,3.068030977,chickpea
59,55,79,20.36720401,16.89574311,8.766128654,3.238368413,chickpea
36,76,75,18.38120357,16.63805158,8.736337905,2.776400274,chickpea
57,68,81,17.17012591,17.30457712,8.081095263,2.865600088,chickpea
35,66,81,19.37101121,15.77458129,6.138243973,3.356228288,chickpea
35,64,78,17.92845928,14.27327988,7.496645259,3.361172744,chickpea
52,60,79,19.45339934,18.23490739,8.380185271,2.977628213,chickpea
27,76,83,19.12829388,14.92241479,6.289614016,3.528290483,chickpea
57,60,84,19.1034283,17.26184541,6.586777189,2.972087074,chickpea
52,68,78,17.48504075,16.96070581,6.89655198,3.387825999,chickpea
43,79,79,19.40751744,18.98030507,7.806747656,3.159474267,chickpea
44,74,85,20.18649426,19.63719995,7.150681303,3.081117937,chickpea
24,55,78,17.30287885,15.15405941,6.64919573,2.975508025,chickpea
29,77,75,17.50361137,15.48083156,7.778591618,2.871837287,chickpea
20,60,78,18.17234999,14.70085967,6.358740355,3.573861051,chickpea
56,67,78,17.57445618,16.71826572,8.255450758,3.063736781,chickpea
37,66,85,20.93175255,18.91295403,6.456148474,3.073586927,chickpea
49,71,76,19.71098332,17.63879418,6.613072145,3.369261983,chickpea
59,69,80,19.07937684,17.86754927,8.165359297,2.732527219,chickpea
20,79,77,18.54988627,16.02542689,7.64867466,3.004946948,chickpea
24,56,85,18.19903647,17.41333199,6.545888558,3.174824421,chickpea
51,72,75,18.88852533,14.99451145,7.104224797,3.153989701,chickpea
57,73,85,18.49311205,14.72115044,7.358099622,3.61991943,chickpea
22,64,82,19.48974337,17.17260319,6.4740245,3.445398739,chickpea
52,73,79,17.25769499,18.74943955,7.840339389,3.700900478,chickpea
29,75,75,19.62416326,18.71483156,7.064790365,3.482620835,chickpea
44,59,78,20.67526473,19.85388984,7.599033472,3.337930712,chickpea
41,69,82,20.02381489,16.63294455,6.715587232,2.715671867,chickpea
52,56,85,20.1187446,14.44228303,6.81712422,3.491404978,chickpea
34,76,80,20.65691793,15.84572566,7.985417393,2.568429584,chickpea
42,74,83,19.2582557,14.2804191,7.545258424,2.589780328,chickpea
34,71,79,17.927806,15.85622899,7.728998197,2.938532583,chickpea
27,73,79,19.16288268,15.83500655,7.354973451,3.255813712,chickpea
30,70,79,20.26942271,19.96978871,7.313122235,2.741909127,chickpea
57,57,75,17.09104223,18.25142068,7.785039076,3.436001916,chickpea
27,79,82,17.06579293,17.54024066,6.307004923,2.790216763,chickpea
32,71,85,20.62767492,14.44008871,6.403982316,3.624657601,chickpea
31,76,82,20.8248451,17.85057083,7.599279991,3.118310713,chickpea
33,75,84,19.46210401,18.72831993,7.217018459,2.709214626,chickpea
47,80,77,17.18248372,16.42891834,7.561108006,2.868117065,chickpea
54,62,80,17.48911699,16.39055394,7.489545074,3.128251312,chickpea
47,79,78,17.48395377,14.76014523,6.609696734,2.563529776,chickpea
35,57,83,19.48316794,17.44534641,7.476800943,3.169237366,chickpea
53,73,77,19.71359733,18.09665739,7.325451279,2.899400211,chickpea
45,61,78,19.48649305,16.06240074,6.489389282,3.209780587,chickpea
37,78,79,19.95264829,14.82633099,7.786366322,3.491379177,chickpea
30,75,81,19.41789736,16.80472243,6.408437886,2.696658224,chickpea
37,55,82,19.45591848,18.02235902,8.423873703,3.088547466,chickpea
53,65,76,20.19137759,16.41998269,8.719960893,3.044801321,chickpea
22,60,85,18.8392908,14.74071856,7.811997977,3.731570706,chickpea
60,61,78,20.71219282,19.83643308,6.317153205,3.702228294,chickpea
42,67,77,18.99424448,15.9362937,7.114405288,3.098309921,chickpea
39,76,76,19.96837462,15.57324389,8.135900726,2.722739788,chickpea
35,63,76,17.81564548,17.60756635,7.714153038,3.575628977,chickpea
30,65,82,20.71424384,15.27824066,7.103798069,3.022790816,chickpea
57,56,78,17.34150229,18.75626255,8.861479668,2.675375728,chickpea
48,65,78,17.43732714,14.33847406,7.861128148,2.877664189,chickpea
36,56,83,18.89780215,19.76182946,7.4526709,2.720280503,chickpea
40,58,75,18.59190771,14.77959596,7.168096055,3.527945847,chickpea
49,69,82,18.31561493,15.36143547,7.26311855,3.219964749,chickpea
13,60,25,17.13692774,20.59541693,5.68597166,5.049482756,kidneybeans
25,70,16,19.63474332,18.90705639,5.759237003,4.187394421,kidneybeans
31,55,22,22.91350245,21.33953114,5.873171894,4.30021874,kidneybeans
40,64,16,16.43340342,24.24045875,5.926676985,5.526448091,kidneybeans
2,61,20,22.13974653,23.02251117,5.95561668,3.01737333,kidneybeans
26,65,22,17.84806561,18.77621951,5.949949081,5.633795949,kidneybeans
17,57,21,19.88394011,20.31564139,5.789214289,2.398415272,kidneybeans
26,80,18,19.32509638,23.3334788,5.581021521,4.12513365,kidneybeans
17,59,17,18.4167001,23.42829938,5.689858133,5.23543722,kidneybeans
27,59,22,21.81167649,23.20591245,5.794158504,5.120504303,kidneybeans
28,58,24,19.72702528,18.28173015,5.748190463,5.65996415,kidneybeans
25,57,19,17.15432954,19.87070659,5.566522896,3.464436902,kidneybeans
28,80,17,19.62207826,18.67170854,5.809419584,5.675462417,kidneybeans
25,60,22,21.63149148,21.17919701,5.887263027,5.289960425,kidneybeans
12,78,23,16.06522754,18.72479695,5.99812453,3.46718062,kidneybeans
6,77,25,20.61162204,24.36314135,5.792744849,2.741666872,kidneybeans
22,79,17,21.42451099,20.39659714,5.912289889,4.587428831,kidneybeans
27,80,15,19.07096165,21.21092266,5.788386951,3.394455739,kidneybeans
10,55,23,21.18853178,19.63438599,5.728233081,5.401372571,kidneybeans
23,65,20,23.0429097,22.42610972,5.833940084,4.266473685,kidneybeans
19,78,16,20.65375833,23.10538637,5.967533236,2.666050767,kidneybeans
19,65,25,18.09551014,18.29318436,5.625096446,5.700402846,kidneybeans
22,70,19,18.23775702,21.07643273,5.515615023,2.734232907,kidneybeans
37,64,22,17.48189735,18.8251973,5.954665349,4.800792791,kidneybeans
11,71,17,19.9191786,21.47324158,5.74644777,3.25533637,kidneybeans
18,79,20,20.27514686,23.2353604,5.877347515,5.502053319,kidneybeans
21,63,17,15.77370214,19.2303162,5.979973965,4.265517378,kidneybeans
24,80,22,16.71170642,19.17651433,5.635993966,3.809955046,kidneybeans
34,60,22,17.66148158,18.15302753,5.635231778,3.96343213,kidneybeans
16,75,21,18.50692825,23.61670065,5.679224346,3.427217673,kidneybeans
17,77,23,24.51324787,20.81527638,5.670062975,2.527361396,kidneybeans
37,72,18,18.87614998,24.54038287,5.724242065,4.150080764,kidneybeans
40,73,20,21.59343016,20.31871249,5.811314232,2.407036235,kidneybeans
9,77,17,20.12373284,24.45202552,5.783425416,4.179456732,kidneybeans
1,62,23,15.43546065,18.37477907,5.607808432,5.473630055,kidneybeans
33,59,22,22.64236876,21.59396123,5.946999529,4.818448878,kidneybeans
23,59,19,21.98560799,24.87304788,5.852046999,5.100986618,kidneybeans
6,62,22,20.53052663,18.09224048,5.824090984,4.742162551,kidneybeans
25,63,20,15.78601387,21.14544088,5.502999119,3.746861468,kidneybeans
7,79,23,19.6365349,19.68751084,5.821649914,3.805468084,kidneybeans
8,72,17,20.57341244,19.7520218,5.711439256,3.459791008,kidneybeans
27,64,15,20.16080524,24.84207559,5.514927264,5.442370559,kidneybeans
28,66,23,21.53989176,24.25386207,5.99616119,4.751626134,kidneybeans
32,57,18,15.53834801,23.75560241,5.695422863,4.22775824,kidneybeans
27,56,22,19.91853092,20.70099804,5.833010958,4.277301354,kidneybeans
17,77,24,20.76952209,18.93146941,5.568456899,4.292101228,kidneybeans
0,65,15,23.46168338,23.22197648,5.645435626,3.773328125,kidneybeans
13,72,21,24.32116642,21.0278674,5.821194486,2.373052176,kidneybeans
34,60,23,20.12574053,24.96969858,5.659254981,3.938965287,kidneybeans
9,80,19,21.80619564,18.57086554,5.945465949,4.925089319,kidneybeans
11,72,20,19.52226241,24.92607153,5.951177452,4.461969528,kidneybeans
3,67,24,17.00067625,19.90790546,5.520880014,4.066639398,kidneybeans
35,69,23,16.78791503,24.96881755,5.578410206,2.97060159,kidneybeans
3,77,25,24.84906168,22.89464642,5.608165195,2.449327632,kidneybeans
23,62,19,16.51783455,20.4555596,5.609435128,3.888895364,kidneybeans
22,71,17,18.15300153,19.38602098,5.509295379,4.239795134,kidneybeans
31,79,25,23.18864385,22.3104551,5.902033406,2.495357804,kidneybeans
34,59,18,23.38002569,21.98879437,5.744117663,3.451534907,kidneybeans
12,63,17,18.358923,19.37703396,5.717143397,5.449400157,kidneybeans
27,56,20,19.25975367,20.51346956,5.542690119,3.738320969,kidneybeans
7,63,24,22.95458237,24.03553105,5.858617867,4.241399157,kidneybeans
24,67,22,20.120043,22.89845607,5.618844277,4.119102965,kidneybeans
11,71,24,21.14011423,22.7182355,5.606620346,5.575026465,kidneybeans
37,74,15,24.92360104,18.22590825,5.582178402,2.468854996,kidneybeans
25,76,24,15.33042636,24.91506728,5.56503533,5.328014106,kidneybeans
34,66,17,18.81097271,21.27833035,5.889614577,4.924602953,kidneybeans
20,69,15,23.44260668,22.77255917,5.934136378,4.228886795,kidneybeans
37,65,16,22.8352024,18.97267518,5.683548308,2.503652233,kidneybeans
18,74,15,24.9035819,22.27512704,5.70836603,5.766642665,kidneybeans
4,67,25,23.78709569,24.35679348,5.948164454,4.710253591,kidneybeans
37,56,25,22.05592283,19.60379304,5.774755144,4.989233748,kidneybeans
5,59,15,18.87492997,20.18238348,5.97229163,5.282723299,kidneybeans
11,61,21,18.62328774,23.02410338,5.532100554,5.328259972,kidneybeans
22,80,20,23.00884744,18.86880997,5.669560726,3.941677638,kidneybeans
12,61,19,19.33162606,24.13995025,5.655726817,2.697343869,kidneybeans
5,74,21,16.24469193,21.35793891,5.591704014,2.636635141,kidneybeans
27,69,22,17.91652287,24.90814655,5.932323085,2.722315363,kidneybeans
31,75,18,15.46789263,21.43780702,5.824208309,3.499526024,kidneybeans
36,68,20,17.06104474,23.77201471,5.86442953,3.221819103,kidneybeans
5,65,16,21.32776028,18.48522915,5.866744372,4.295327799,kidneybeans
32,79,15,23.90910104,20.74619325,5.706198621,3.212681592,kidneybeans
11,78,22,23.89756791,22.74378977,5.940546818,4.435497776,kidneybeans
0,55,22,22.98666928,20.57940608,5.916779289,5.663720228,kidneybeans
14,59,15,21.35135729,22.91244883,5.779090476,5.765939547,kidneybeans
29,68,23,24.1638445,19.27907819,5.82738029,4.595765055,kidneybeans
32,68,19,24.62835037,18.18325169,5.514234138,5.895437118,kidneybeans
17,64,17,21.02213209,24.93896255,5.662699104,4.905978232,kidneybeans
13,69,19,17.30844532,20.01730914,5.86390397,4.535403346,kidneybeans
14,67,22,23.82576704,24.75485098,5.624690248,3.332340013,kidneybeans
9,69,20,19.30607278,23.96362799,5.591560999,5.092320181,kidneybeans
20,73,22,16.03768615,22.33195853,5.976312538,5.133467709,kidneybeans
40,78,20,19.18572809,20.83398341,5.669236258,3.155627337,kidneybeans
27,72,23,19.92889503,21.79992115,5.961934481,2.520724723,kidneybeans
14,67,15,19.56376468,24.67385131,5.690065688,5.483940961,kidneybeans
7,56,18,18.31357543,24.32991649,5.698371311,2.997698387,kidneybeans
27,65,18,20.10993761,23.22323766,5.59503163,2.888341133,kidneybeans
30,63,16,23.60506572,21.90539577,5.525904526,3.960546173,kidneybeans
37,70,25,19.73136909,24.89487354,5.819403771,3.309588234,kidneybeans
27,63,19,20.93409877,21.1893007,5.562201934,5.243757555,kidneybeans
22,60,24,18.78226261,20.24768314,5.630664753,4.104609146,kidneybeans
3,72,24,36.51268371,57.92887167,6.03160778,4.828896433,pigeonpeas
40,59,23,36.89163721,62.73178224,5.269084669,6.445931303,pigeonpeas
33,73,23,29.23540524,59.38967583,5.985792703,4.068117335,pigeonpeas
27,57,24,27.33534897,43.35795962,6.09186275,5.603557783,pigeonpeas
